,Location,Location_Type,State,Bedroom_Size,Price_2014__AVG,Price_2015__AVG,Price_2016__AVG,Price_2017__AVG,Price_2018__AVG,Price_2019__AVG
32,"San Antonio, TX",City,TX,2br,962.9166666666666,991.8333333333334,1021.6666666666666,1041.9166666666667,1054.0833333333333,1071.0
33,"San Antonio, TX",City,TX,3br,1273.6666666666667,1312.0,1351.4166666666667,1378.3333333333333,1394.4166666666667,1416.8333333333333
34,"San Antonio, TX",City,TX,4br,1529.0833333333333,1575.3333333333333,1622.75,1654.6666666666667,1674.0,1701.0
35,"San Diego, CA",City,CA,Studio,1207.75,1283.5,1336.3333333333333,1383.5,1406.3333333333333,1412.0
36,"San Diego, CA",City,CA,1br,1337.4166666666667,1421.25,1479.6666666666667,1531.6666666666667,1556.9166666666667,1563.3333333333333
37,"San Diego, CA",City,CA,2br,1734.9166666666667,1843.75,1919.6666666666667,1986.9166666666667,2019.75,2028.3333333333333
38,"San Diego, CA",City,CA,3br,2498.25,2655.1666666666665,2764.0,2861.4166666666665,2908.4166666666665,2920.8333333333335
39,"San Diego, CA",City,CA,4br,3057.5,3249.25,3382.5833333333335,3501.5833333333335,3559.3333333333335,3574.5
40,"Dallas, TX",City,TX,Studio,658.5,681.9166666666666,718.4166666666666,738.25,746.6666666666666,754.8333333333334
41,"Dallas, TX",City,TX,1br,784.8333333333334,812.75,856.0833333333334,879.8333333333334,889.9166666666666,899.6666666666666
42,"Dallas, TX",City,TX,2br,975.4166666666666,1009.6666666666666,1064.0,1093.4166666666667,1105.9166666666667,1117.6666666666667
43,"Dallas, TX",City,TX,3br,1322.25,1369.0,1442.5,1482.3333333333333,1499.25,1515.5
44,"Dallas, TX",City,TX,4br,1684.25,1743.9166666666667,1837.5833333333333,1888.0833333333333,1909.75,1930.3333333333333
45,"San Jose, CA",City,CA,Studio,1497.4166666666667,1646.5833333333333,1695.9166666666667,1720.5833333333333,1766.5,1793.6666666666667
46,"San Jose, CA",City,CA,1br,1759.9166666666667,1935.3333333333333,1993.25,2022.25,2076.5833333333335,2108.1666666666665
47,"San Jose, CA",City,CA,2br,2206.0833333333335,2425.8333333333335,2498.5,2534.75,2602.6666666666665,2642.3333333333335
48,"San Jose, CA",City,CA,3br,3062.1666666666665,3367.25,3468.1666666666665,3518.4166666666665,3612.6666666666665,3667.8333333333335
49,"San Jose, CA",City,CA,4br,3529.9166666666665,3881.5,3997.8333333333335,4055.6666666666665,4164.583333333333,4228.0
50,"Indianapolis, IN",City,IN,Studio,579.6666666666666,572.6666666666666,572.6666666666666,584.6666666666666,594.4166666666666,599.1666666666666
51,"Indianapolis, IN",City,IN,1br,673.0833333333334,664.75,664.5833333333334,678.6666666666666,689.75,695.6666666666666
52,"Indianapolis, IN",City,IN,2br,833.4166666666666,823.0,822.9166666666666,840.25,854.3333333333334,861.5
53,"Indianapolis, IN",City,IN,3br,1117.0833333333333,1103.3333333333333,1102.9166666666667,1126.3333333333333,1145.1666666666667,1154.8333333333333
54,"Indianapolis, IN",City,IN,4br,1273.3333333333333,1258.0,1257.5833333333333,1284.1666666666667,1305.3333333333333,1316.3333333333333
55,"Jacksonville, FL",City,FL,Studio,606.6666666666666,626.5,637.8333333333334,660.5833333333334,679.0833333333334,689.1666666666666
56,"Jacksonville, FL",City,FL,1br,778.5,803.9166666666666,818.6666666666666,847.6666666666666,871.5833333333334,884.5
57,"Jacksonville, FL",City,FL,2br,953.0833333333334,984.25,1002.0,1037.5833333333333,1067.0,1082.6666666666667
58,"Jacksonville, FL",City,FL,3br,1260.9166666666667,1302.25,1325.75,1372.9166666666667,1411.75,1432.5
59,"Jacksonville, FL",City,FL,4br,1598.0833333333333,1650.6666666666667,1680.1666666666667,1740.25,1789.4166666666667,1815.3333333333333
60,"San Francisco, CA",City,CA,Studio,1855.5833333333333,1988.0833333333333,1969.75,1966.6666666666667,1991.5833333333333,2008.3333333333333
61,"San Francisco, CA",City,CA,1br,2280.5833333333335,2443.25,2420.6666666666665,2416.9166666666665,2447.6666666666665,2468.1666666666665
62,"San Francisco, CA",City,CA,2br,2865.0,3069.75,3041.0833333333335,3036.25,3075.0,3100.5
63,"San Francisco, CA",City,CA,3br,3854.8333333333335,4130.166666666667,4091.5,4085.1666666666665,4137.166666666667,4171.666666666667
64,"San Francisco, CA",City,CA,4br,4583.916666666667,4911.416666666667,4865.333333333333,4857.583333333333,4919.666666666667,4960.666666666667
65,"Austin, TX",City,TX,Studio,830.8333333333334,881.1666666666666,918.9166666666666,928.6666666666666,938.5833333333334,958.0
66,"Austin, TX",City,TX,1br,1007.0,1067.8333333333333,1113.6666666666667,1125.4166666666667,1137.4166666666667,1161.0
67,"Austin, TX",City,TX,2br,1243.0,1318.0833333333333,1374.6666666666667,1389.3333333333333,1404.25,1433.1666666666667
68,"Austin, TX",City,TX,3br,1684.1666666666667,1785.75,1862.4166666666667,1882.0833333333333,1902.3333333333333,1941.6666666666667
69,"Austin, TX",City,TX,4br,2026.5,2149.1666666666665,2241.1666666666665,2265.0,2289.25,2336.5
70,"Columbus, OH",City,OH,Studio,572.8333333333334,586.9166666666666,599.25,618.1666666666666,624.75,629.8333333333334
71,"Columbus, OH",City,OH,1br,677.25,694.0833333333334,708.5833333333334,730.8333333333334,738.4166666666666,744.5
72,"Columbus, OH",City,OH,2br,872.5833333333334,894.4166666666666,913.1666666666666,941.75,951.6666666666666,959.3333333333334
73,"Columbus, OH",City,OH,3br,1122.6666666666667,1150.6666666666667,1174.9166666666667,1211.8333333333333,1224.25,1234.3333333333333
74,"Columbus, OH",City,OH,4br,1306.4166666666667,1339.25,1367.25,1410.5,1424.75,1436.3333333333333
75,"Fort Worth, TX",City,TX,Studio,668.75,694.0,723.4166666666666,755.6666666666666,767.8333333333334,776.5
76,"Fort Worth, TX",City,TX,1br,796.8333333333334,826.9166666666666,861.8333333333334,900.5833333333334,915.1666666666666,925.5
77,"Fort Worth, TX",City,TX,2br,990.5833333333334,1027.6666666666667,1070.9166666666667,1119.0,1137.3333333333333,1150.0
78,"Fort Worth, TX",City,TX,3br,1342.8333333333333,1393.0833333333333,1452.0833333333333,1517.4166666666667,1541.8333333333333,1559.0
79,"Fort Worth, TX",City,TX,4br,1710.5,1774.5833333333333,1849.5,1932.75,1963.9166666666667,1985.8333333333333
80,"Charlotte, NC",City,NC,Studio,741.6666666666666,781.0833333333334,818.8333333333334,846.8333333333334,862.25,877.6666666666666
81,"Charlotte, NC",City,NC,1br,821.25,864.75,906.4166666666666,937.5,954.75,971.5
82,"Charlotte, NC",City,NC,2br,958.0,1008.75,1057.5833333333333,1093.75,1113.6666666666667,1133.3333333333333
83,"Charlotte, NC",City,NC,3br,1291.1666666666667,1359.6666666666667,1425.25,1474.1666666666667,1500.9166666666667,1527.1666666666667
